Number,Date_Time,info,source,Core_info_final,year
153232733102026753,2011-12-31 21:55:05+00:00,Wheat Watch...Gluten-free beers are not really safe for celiac patients http://ow.ly/8e6gz,goodhealth,Wheat Watch...Gluten-free beers are not really safe for celiac patients ,2011
153196288614219776,2011-12-31 19:30:16+00:00,Who is in the mood for a casserole tonite? These are low-cal and low-fat http://ow.ly/82SsP,goodhealth,Who is in the mood for a casserole tonite? These are low-cal and low-fat ,2011
153032657113071616,2011-12-31 08:40:03+00:00,Going out tonight? Try these easy get-gorgeous makeup tips http://ow.ly/8c8d6,goodhealth,Going out tonight? Try these easy get-gorgeous makeup tips ,2011
152484074110455808,2011-12-29 20:20:10+00:00,Ready to start thinking about losing 2011's weight? http://ow.ly/82Slt,goodhealth,Ready to start thinking about losing 2011's weight? ,2011
152418789919703040,2011-12-29 16:00:45+00:00,All eyes will be on your this New Years Eve in one of these pretty party dresses http://ow.ly/86PaR,goodhealth,All eyes will be on your this New Years Eve in one of these pretty party dresses ,2011
152402621729214464,2011-12-29 14:56:31+00:00,Dangerous Doctors You Must Avoid! http://bit.ly/udayEJ,goodhealth,Dangerous Doctors You Must Avoid! ,2011
152101719638159360,2011-12-28 19:00:50+00:00,#RecipeOfTheDay Zucchini Oven Chips. A much healthier alternative to the greasy potato kind out of the bag. http://ow.ly/86WAH,goodhealth,#RecipeOfTheDay Zucchini Oven Chips. A much healthier alternative to the greasy potato kind out of the bag. ,2011
152045485056724992,2011-12-28 15:17:23+00:00,Have you lost 40+ pounds in a healthy way? If so send info to weightloss_health@yahoo.com.,goodhealth,Have you lost 40+ pounds in a healthy way? If so send info to weightloss_health@yahoo.com.,2011
152044767209996289,2011-12-28 15:14:32+00:00,10 Healthiest Resolutions for 2012 - make them now! http://bit.ly/sHNHHm,goodhealth,10 Healthiest Resolutions for 2012 - make them now! ,2011
151784600014831616,2011-12-27 22:00:43+00:00,Our #RecipeOfTheDay is what's for dinner tonight: http://ow.ly/86Weg. Try it out at home and tell us what you think!,goodhealth,Our #RecipeOfTheDay is what's for dinner tonight: ,2011
151767327694786561,2011-12-27 20:52:05+00:00,2012 Trend Watch: The new face of pet therapy! http://bit.ly/u4b1sR,goodhealth,2012 Trend Watch: The new face of pet therapy! ,2011
151709158167691264,2011-12-27 17:00:56+00:00,Got 5 minutes? That's all you'll need to burn some serious fat this winter. http://ow.ly/86Wqy,goodhealth,Got 5 minutes? That's all you'll need to burn some serious fat this winter. ,2011
151701749873377280,2011-12-27 16:31:30+00:00,The holidays can trigger depression in lots of people. Here's how to keep a relapse at bay http://bit.ly/9c4Vq5,goodhealth,The holidays can trigger depression in lots of people. Here's how to keep a relapse at bay ,2011
151376927213621248,2011-12-26 19:00:46+00:00,"Christmas is over, and you've only got a week until the New Year. Use this time to detox from all the food and drinks! http://ow.ly/86OVA",goodhealth,"Christmas is over, and you've only got a week until the New Year. Use this time to detox from all the food and drinks! ",2011
150984282708512768,2011-12-25 17:00:32+00:00,"#MerryChristmas from all of us at Health! We hope it's a safe, healthy and happy holiday for everyone!",goodhealth,"#MerryChristmas from all of us at Health! We hope it's a safe, healthy and happy holiday for everyone!",2011
150638174455083008,2011-12-24 18:05:14+00:00,Treats to take you through the New Year http://ow.ly/82S4Q,goodhealth,Treats to take you through the New Year ,2011
150350104128258048,2011-12-23 23:00:32+00:00,Consider these recipes (all low in sat fat) for your holiday menu. Your guests with be happy AND heart-healthy. http://ow.ly/86L1R,goodhealth,Consider these recipes (all low in sat fat) for your holiday menu. Your guests with be happy AND heart-healthy. ,2011
150274669822484481,2011-12-23 18:00:47+00:00,Plan the perfect holiday menu with these recipes from our new CarbLovers Cookbook on sale now! http://ow.ly/86ODg,goodhealth,Plan the perfect holiday menu with these recipes from our new CarbLovers Cookbook on sale now! ,2011
150267966146101249,2011-12-23 17:34:09+00:00,Meet the world's smallest competitive eater http://bit.ly/tAmAGR,goodhealth,Meet the world's smallest competitive eater ,2011
149940533131870209,2011-12-22 19:53:03+00:00,Don't touch that escalator railing (and other disgustingly germy spots in the mall) http://bit.ly/ti5Xkn,goodhealth,Don't touch that escalator railing (and other disgustingly germy spots in the mall) ,2011
149939430482907136,2011-12-22 19:48:40+00:00,13 common medications that cause weight gain http://bit.ly/v4f8nr. Are you on one of them?,goodhealth,13 common medications that cause weight gain ,2011
149923465951055872,2011-12-22 18:45:14+00:00,"Oh No! How did you forget that one last gift? Don't worry, we've got you covered with 50 healthy gifts under $50 http://ow.ly/86KV5",goodhealth,"Oh No! How did you forget that one last gift? Don't worry, we've got you covered with 50 healthy gifts under $50 ",2011
149890726677848065,2011-12-22 16:35:08+00:00,"So good, so easy (so low in fat!). Put these holiday cookies in your menu! http://ow.ly/87zBc",goodhealth,"So good, so easy (so low in fat!). Put these holiday cookies in your menu! ",2011
149882051586297856,2011-12-22 16:00:40+00:00,"Spread the Christmas cheer throughout your household, and let the kids help with these easy-to-make treats. http://ow.ly/86Kn6",goodhealth,"Spread the Christmas cheer throughout your household, and let the kids help with these easy-to-make treats. ",2011
149610852973162498,2011-12-21 22:03:01+00:00,Must-Know Facts About Cholesterol Medication http://bit.ly/tzorwg,goodhealth,Must-Know Facts About Cholesterol Medication ,2011
149543412406812672,2011-12-21 17:35:02+00:00,RT @healthyliving: RT @todayshow: The 5 foods that the average American always has/never has in the kitchen: http://on.today.com/v3c66E,goodhealth,RT @healthyliving: RT @todayshow: The 5 foods that the average American always has/never has in the kitchen: ,2011
