source,year,Tweets_cleaned,Cluster_labels,month,day_of_week,vectors
cnnhealth,2012,baby boomer nun revolutionize care,1,12,0,"[-0.5100927352905273, -1.6049264669418335, 0.7869857549667358, 0.9942154884338379, -0.5039359331130981, 0.2507871985435486, 0.4682792127132416, 2.643136978149414, -2.082422971725464, -2.289818048477173, 2.4405314922332764, 1.399533987045288, -0.1243516132235527, -0.5205864906311035, -2.113445281982422, -0.26640966534614563, 0.5421088933944702, -1.5434303283691406, -1.8532029390335083, -1.418704867362976, -0.011708113364875317, 0.7714362144470215, 1.4593080282211304, 2.117833375930786, 1.9024196863174438, 1.7573134899139404, -1.7413358688354492, -0.26209068298339844, -0.6092499494552612, -1.4488131999969482]"
cnnhealth,2012,hope hear cochlear implant,1,12,5,"[0.3121253252029419, -1.456074833869934, 0.40960240364074707, -0.33511343598365784, 0.2522415220737457, 0.7897548079490662, 1.0831772089004517, 0.6114097237586975, -0.4502106308937073, -0.47043222188949585, 0.5787382125854492, 0.34300553798675537, -0.2740643322467804, -0.924724817276001, -0.06315463781356812, -0.4218595027923584, 0.5368421673774719, 0.24101956188678741, -1.0969022512435913, 0.7151944637298584, -1.1778095960617065, -0.665948212146759, 0.6919063329696655, 1.6955513954162598, 0.21974623203277588, 0.8274055123329163, -0.13429130613803864, -0.9648705124855042, -0.18364934623241425, -0.7231499552726746]"
cnnhealth,2012,keep energy every,1,12,5,"[-0.6492517590522766, -1.0113755464553833, 0.4387645721435547, -0.3817923963069916, 0.07663648575544357, 0.849784255027771, -0.3165779709815979, 1.0252362489700317, -1.3613210916519165, -0.974476158618927, 1.4270108938217163, 0.7109082937240601, 0.32651418447494507, -0.9587025046348572, -0.5162792205810547, -0.42041462659835815, 0.734628438949585, -0.5991561412811279, -1.0309009552001953, -0.2771875262260437, -0.9405645132064819, 0.03481480851769447, 0.6194151043891907, 2.3392884731292725, 1.1653332710266113, 1.3698196411132812, -0.6390886306762695, -0.7673418521881104, 0.0030913848895579576, -0.9250331521034241]"
cnnhealth,2012,excite science milestone cnnlightyears,1,12,4,"[-0.34385478496551514, -1.2968170642852783, 1.1136212348937988, -0.01815277710556984, 2.170506000518799, 1.7241283655166626, -0.6242462992668152, 0.8316301703453064, -0.9646535515785217, -0.455341637134552, 0.3289138972759247, 1.0017497539520264, 1.0459259748458862, 0.06062386929988861, -0.21674160659313202, -1.6969614028930664, 0.27913182973861694, -0.49515244364738464, -1.3469148874282837, -1.3434906005859375, -0.5985662341117859, -1.1413202285766602, -0.20705243945121765, 3.4759938716888428, 1.209141492843628, 2.856553554534912, -0.48677170276641846, -1.1515673398971558, 0.21734406054019928, -1.3400442600250244]"
cnnhealth,2012,geneticist connecticut shooter dna,1,12,3,"[-0.31343698501586914, -1.3910753726959229, 1.5133752822875977, -0.39309588074684143, 0.4364123046398163, 1.3585280179977417, 0.004412448033690453, 1.387014389038086, -1.6771042346954346, -1.1005430221557617, 1.7043637037277222, 0.14098453521728516, 0.43127769231796265, -0.7314419150352478, -0.06272941082715988, -0.5705386400222778, 1.1715631484985352, 0.07644222676753998, -1.4330493211746216, 0.3679516911506653, -1.237113356590271, -0.3526047170162201, 0.15087293088436127, 2.9533395767211914, 0.8061960339546204, 2.3345720767974854, -1.0980725288391113, -1.3488054275512695, -0.16572825610637665, -0.7648692727088928]"
cnnhealth,2012,obamacare flesheating bacteria top story favorite story,1,12,3,"[1.0848690271377563, -0.8529233336448669, 0.02509654499590397, -0.21762488782405853, 0.18710246682167053, 0.10406597703695297, 1.7206770181655884, -0.0980612114071846, -0.13745157420635223, 0.8085637092590332, 0.013403625227510929, 1.1657649278640747, -0.14902310073375702, -1.3496307134628296, 0.4866432845592499, -0.3448088467121124, 0.9234820604324341, 0.7274120450019836, -0.9396384358406067, 0.9512001276016235, -0.4628857374191284, -0.6586079001426697, 0.6301167607307434, 0.8553248643875122, -0.03467482328414917, -0.7466723918914795, 0.46153783798217773, 0.4824436604976654, 0.3297349512577057, -0.90337073802948]"
cnnhealth,2012,food allergy serious kid bully,0,12,3,"[-0.2733137011528015, -1.0224950313568115, 0.21804115176200867, -0.050281718373298645, 0.84018474817276, 0.4124468266963959, 0.1528046578168869, 1.4965015649795532, -0.9777376651763916, -0.9378654360771179, 1.4688470363616943, 0.8781353235244751, 0.2032640278339386, -1.0006120204925537, -0.9435278177261353, -0.22606904804706573, 0.47568202018737793, -1.0747358798980713, -1.4418193101882935, -0.34173494577407837, -0.6365046501159668, -0.31775417923927307, 0.4634220004081726, 2.131556272506714, 0.8238130211830139, 1.495022177696228, -0.985245943069458, -0.2843710482120514, 0.13417378067970276, -0.8532086610794067]"
cnnhealth,2012,stop wasting food,0,12,2,"[0.03617026284337044, -0.7489900588989258, 0.3840271830558777, -0.18984642624855042, 0.9200838208198547, 0.8335822820663452, 0.6950409412384033, 0.828054666519165, -0.5305659174919128, -0.37879136204719543, 0.7877858877182007, 0.38406533002853394, 0.37475478649139404, -0.9096931219100952, -0.34134557843208313, -0.4165255129337311, 0.7584388852119446, -0.4838506877422333, -1.0455998182296753, 0.04449280723929405, -0.6497555375099182, -0.27637678384780884, 0.36196255683898926, 1.6030932664871216, 0.43490806221961975, 0.9397141933441162, -0.089141346514225, -0.5108846426010132, 0.2493598908185959, -0.8214612007141113]"
cnnhealth,2012,williamcnn donate bone marrow heres,1,12,1,"[0.20951581001281738, -0.706566333770752, 0.5074267387390137, 0.20739123225212097, 0.668313205242157, 0.9714801907539368, 0.13204845786094666, 0.9115715622901917, -0.9154003262519836, -0.7507996559143066, 1.1567931175231934, 0.33852559328079224, -0.0987338125705719, -0.9890749454498291, -0.44546642899513245, -0.36446213722229004, 0.42450788617134094, -0.724528968334198, -1.227059245109558, -0.39301782846450806, -0.6552563905715942, -0.4519139230251312, 0.7679323554039001, 1.9273860454559326, 0.3981594145298004, 1.674465298652649, -0.8851969838142395, -0.6370753049850464, 0.17695297300815582, -0.9035302996635437]"
cnnhealth,2012,toy recall ingestion,1,12,1,"[-0.05721709504723549, -1.1249769926071167, 1.395681381225586, -0.2518206834793091, 0.6939440965652466, 2.1020851135253906, 0.09430107474327087, 1.2912565469741821, -1.3446859121322632, -0.2391386777162552, 1.1994385719299316, -0.05323893204331398, 0.2311834692955017, -0.15266551077365875, 0.09245818108320236, -1.378331184387207, -0.12365449965000153, -0.9357576370239258, -0.5460392236709595, -0.6217667460441589, -0.5763599872589111, -0.08110220730304718, 0.7758306860923767, 1.5846878290176392, 1.4249255657196045, 2.176496744155884, -0.8263776302337646, -1.316672682762146, 1.2515616416931152, -1.4381664991378784]"
